OPR_DT,OPR_HR,OPR_INTERVAL,INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,TRADING_HUB,RENEWABLE_TYPE,LABEL,XML_DATA_ITEM,MARKET_RUN_ID_POS,RENEW_POS,MW,MARKET_RUN_ID,GROUP
2026-04-06,20,0,2026-04-07T02:00:00-00:00,2026-04-07T03:00:00-00:00,ZP26,Wind,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,1,58.23,DAM,6
2026-04-06,19,0,2026-04-07T01:00:00-00:00,2026-04-07T02:00:00-00:00,ZP26,Wind,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,1,56.13,DAM,6
2026-04-06,18,0,2026-04-07T00:00:00-00:00,2026-04-07T01:00:00-00:00,ZP26,Wind,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,1,53.05,DAM,6
2026-04-06,17,0,2026-04-06T23:00:00-00:00,2026-04-07T00:00:00-00:00,ZP26,Wind,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,1,49.4,DAM,6
2026-04-06,16,0,2026-04-06T22:00:00-00:00,2026-04-06T23:00:00-00:00,ZP26,Wind,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,1,43.45,DAM,6
2026-04-06,15,0,2026-04-06T21:00:00-00:00,2026-04-06T22:00:00-00:00,ZP26,Wind,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,1,38.09,DAM,6
2026-04-06,14,0,2026-04-06T20:00:00-00:00,2026-04-06T21:00:00-00:00,ZP26,Wind,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,1,32.47,DAM,6
2026-04-06,13,0,2026-04-06T19:00:00-00:00,2026-04-06T20:00:00-00:00,ZP26,Wind,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,1,28.28,DAM,6
2026-04-06,12,0,2026-04-06T18:00:00-00:00,2026-04-06T19:00:00-00:00,ZP26,Wind,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,1,23.3,DAM,6
2026-04-06,11,0,2026-04-06T17:00:00-00:00,2026-04-06T18:00:00-00:00,ZP26,Wind,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,1,19.96,DAM,6
2026-04-06,10,0,2026-04-06T16:00:00-00:00,2026-04-06T17:00:00-00:00,ZP26,Wind,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,1,21.82,DAM,6
2026-04-06,9,0,2026-04-06T15:00:00-00:00,2026-04-06T16:00:00-00:00,ZP26,Wind,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,1,27.4,DAM,6
2026-04-06,8,0,2026-04-06T14:00:00-00:00,2026-04-06T15:00:00-00:00,ZP26,Wind,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,1,31.83,DAM,6
